rank,title,url,score,author,posted
117,Apple confirms iOS 26.5 Messages app adds RCS end-to-end encryption,https://9to5mac.com/2026/05/04/apple-confirms-ios-26-5-messages-app-adds-rcs-end-to-end-encryption/,41 points,latchkey,15 hours ago
118,Show HN: A tiny C program where an LLM rewires its DAG while running,https://github.com/kouhxp/liteflow,11 points,mrkn1,11 hours ago
119,US–Indian space mission maps extreme subsidence in Mexico City,https://phys.org/news/2026-04-usindian-space-mission-extreme-subsidence.html,219 points,leopoldj,1 day ago
120,Apple Explores Using Intel and Samsung to Build Main Device Chips in the US,https://www.bloomberg.com/news/articles/2026-05-05/apple-explores-using-intel-and-samsung-to-build-main-device-chips-in-the-us,25 points,tambourine_man,10 hours ago
121,Apple Explores Using Intel and Samsung to Build Main Device Chips in the US,https://www.bloomberg.com/news/articles/2026-05-05/apple-explores-using-intel-and-samsung-to-build-main-device-chips-in-the-us,25 points,tambourine_man,10 hours ago
122,Frizbee is a tool you may throw a tag at and it comes back with a checksum,https://github.com/stacklok/frizbee,10 points,mooreds,17 hours ago
123,Alberta voter list leak is a potential public safety disaster,https://globalnews.ca/news/11828244/alberta-voter-list-leak-public-safety-disaster/,120 points,Teever,21 hours ago
124,CollectWise (YC F24) Is Hiring,https://www.ycombinator.com/companies/collectwise/jobs/rEWfZ6R-senior-forward-deployed-engineer,N/A,N/A,3 days ago
125,Windows quality update: Progress we've made since March,https://blogs.windows.com/windows-insider/2026/05/01/windows-quality-update-progress-weve-made-since-march/,176 points,jovial_cavalier,2 days ago
126,"Re: Slow USB storage device? (util-Linux-ng, 2010)",https://marc.info/?l=util-linux-ng&m=126351534518733&w=2,19 points,juliusdavies,12 hours ago
127,A man who blew up a nuclear power station and disappeared,https://www.theguardian.com/world/2026/may/05/the-man-who-blew-up-a-nuclear-power-station-koeberg-south-africa,10 points,sam-cop-vimes,7 hours ago
128,Modern jet engine turbines: each blade a single crystal (2015),https://www.americanscientist.org/article/each-blade-a-single-crystal,74 points,whycome,1 day ago
129,Suspected YouTube bug spikes RAM over 7gbs users report lag and frozen tabs,https://www.tomshardware.com/software/a-suspected-youtube-interface-bug-spikes-ram-usage-above-7-gigabytes-users-report-severe-lag-and-frozen-tabs-bug-might-be-trapping-browsers-in-an-endless-layout-loop,33 points,Zeidd,13 hours ago
130,Dav2d,https://code.videolan.org/videolan/dav2d,613 points,dabinat,2 days ago
131,Why Almost Everyone Loses–Except a Few Sharks–On Prediction Markets,https://www.wsj.com/finance/investing/polymarket-kalshi-betting-profits-prediction-markets-eb23ac11,96 points,JumpCrisscross,1 day ago
132,Alert-driven monitoring,https://simpleobservability.com/docs/alert-driven-monitoring,124 points,khazit,1 day ago
133,Let's Buy Spirit Air,https://letsbuyspiritair.com/,592 points,bjhess,1 day ago
134,Ask HN: Best Embedding Models?,https://news.ycombinator.com/item?id=48017668,14 points,devstein,10 hours ago
135,A couple million lines of Haskell: Production engineering at Mercury,https://blog.haskell.org/a-couple-million-lines-of-haskell/,427 points,unignorant,2 days ago
136,"I'm Peter Roberts, immigration attorney who does work for YC and startups. AMA",https://news.ycombinator.com/item?id=47975676,206 points,proberts,3 days ago
137,The text mode lie: why modern TUIs are a nightmare for accessibility,https://xogium.me/the-text-mode-lie-why-modern-tuis-are-a-nightmare-for-accessibility,292 points,SpyCoder77,1 day ago
138,Bad Connection: Global telecom exploitation by covert surveillance actors,https://citizenlab.ca/research/uncovering-global-telecom-exploitation-by-covert-surveillance-actors/,208 points,miohtama,1 day ago
139,Tar Files Created on macOS Display Errors When Extracting on Linux (2024),https://aruljohn.com/blog/macos-created-tar-files-linux-errors/,151 points,heresie-dabord,1 day ago
140,Make your own microforest (2025),https://ambrook.com/offrange/environment/a-forest-in-your-pocket,112 points,bookofjoe,1 day ago
141,This Month in Ladybird – April 2026,https://ladybird.org/newsletter/2026-04-30/,498 points,richardboegli,2 days ago
142,Do_not_track,https://donottrack.sh/,540 points,RubyGuy,2 days ago
143,OpenAI’s o1 correctly diagnosed 67% of ER patients vs. 50-55% by triage doctors,https://www.theguardian.com/technology/2026/apr/30/ai-outperforms-doctors-in-harvard-trial-of-emergency-triage-diagnoses,500 points,donsupreme,1 day ago
144,"As Oil Prices Stay High, China Doubles Down on Wind Power",https://www.nytimes.com/2026/05/05/business/china-wind-turbines.html,4 points,JumpCrisscross,2 hours ago
145,Barman – Backup and Recovery Manager for PostgreSQL,https://github.com/EnterpriseDB/barman,184 points,nateb2022,2 days ago
146,Unsigned sizes: A five year mistake,https://c3-lang.org/blog/unsigned-sizes-a-five-year-mistake/,116 points,lerno,2 days ago
147,The agent harness belongs outside the sandbox,https://www.mendral.com/blog/agent-harness-belongs-outside-sandbox,178 points,shad42,2 days ago
148,Metal Gear Solid 2's source code has been leaked on 4chan,https://www.thegamer.com/mgs2-hd-edition-source-code-massive-leak/,308 points,rishabhd,1 day ago
149,"Infrasound waves stop kitchen fires, but can they replace sprinklers?",https://arstechnica.com/gadgets/2026/05/startup-says-sound-waves-can-replace-fire-sprinklers-experts-arent-so-sure/,59 points,0in,1 day ago
150,A physics engine with incremental rollback for multiplayer games,https://easel.games/blog/2026-rollback-physics,124 points,BSTRhino,2 days ago
